component,modelID,RSL,RSLsd,yearBP,siteID,model_ranking
1,1,-262.027391547337,2103.82255342505,2218,1,2
1,1,-191.440370082855,2104.4374264959,2118,1,2
1,1,-137.136242642067,2105.03437372478,2018,1,2
1,1,-100.590160821564,2105.72033695717,1918,1,2
1,1,-81.93378794007,2106.14353604254,1818,1,2
1,1,-80.1379871433601,2105.62051343329,1718,1,2
1,1,-93.0440749516711,2103.40202251649,1618,1,2
1,1,-117.337889210321,2098.9137640228,1518,1,2
1,1,-148.800501246005,2091.94305669918,1418,1,2
1,1,-182.752002034336,2082.77673720556,1318,1,2
1,1,-214.383346846327,2072.22838657366,1218,1,2
1,1,-239.052261676639,2061.46164411678,1118,1,2
1,1,-252.595745323226,2051.60965975025,1018,1,2
1,1,-251.605246986263,2043.2317881814,918,1,2
1,1,-234.020504481159,2036.02909039658,818,1,2
1,1,-199.843295481987,2028.75467600093,718,1,2
1,1,-151.43109605927,2019.30790994521,618,1,2
1,1,-93.2323799952865,2005.05590857696,518,1,2
1,1,-31.2891410076991,1983.25752648032,418,1,2
1,1,27.5872938660905,1951.68886661473,318,1,2
1,1,76.9329820340499,1909.72674640347,218,1,2
1,1,111.992275809869,1860.64748209222,118,1,2
1,1,131.273612924851,1816.8672305812,18,1,2
1,1,-113785.377252464,2560.12780985769,18918,2,2
1,1,-113794.414864919,2556.43918833523,18818,2,2
1,1,-113713.348022618,2551.7198710845,18718,2,2
1,1,-113559.667407689,2546.70688467526,18618,2,2
1,1,-113353.443163968,2542.44431980214,18518,2,2
1,1,-113115.366450733,2540.18603872696,18418,2,2
1,1,-112864.662342097,2541.37122121486,18318,2,2
1,1,-112617.43760622,2547.64297002471,18218,2,2
1,1,-112386.440758919,2560.87322202572,18118,2,2
1,1,-112181.426277152,2583.14243615212,18018,2,2
1,1,-112009.392841163,2616.7713753989,17918,2,2
1,1,-111874.848143135,2664.38762304424,17818,2,2
1,1,-111780.121702661,2728.81690840742,17718,2,2
1,1,-111725.66964636,2812.69198475765,17618,2,2
1,1,-111710.369874367,2917.8076564691,17518,2,2
1,1,-111731.794811379,3044.4118621514,17418,2,2
1,1,-111786.398746288,3190.86844743292,17318,2,2
1,1,-111869.636328083,3353.81083208194,17218,2,2
1,1,-111976.069406869,3528.55059012152,17118,2,2
1,1,-112099.469557307,3709.57340774364,17018,2,2
1,1,-112232.91687571,3891.00634526138,16918,2,2
1,1,-112368.895619176,4066.99695648639,16818,2,2
1,1,-112499.387244964,4231.99152748771,16718,2,2
1,1,-112615.961400292,4380.92550618664,16618,2,2
