component,modelID,df2s,dsd2s,yearBP,siteID,model_ranking
1,1,13.7036169970735,15.933124599661,14968,3,2
1,1,15.0072576578007,15.9200530696438,14868,3,2
1,1,16.2877268298623,15.8977710581091,14768,3,2
1,1,17.5266582838726,15.8675746723445,14668,3,2
1,1,18.7038595404802,15.8317071148058,14568,3,2
1,1,19.7958824155666,15.7932323984486,14468,3,2
1,1,20.768386004204,15.7554308034107,14368,3,2
1,1,21.5727722183475,15.7210874073107,14268,3,2
1,1,22.1554107524594,15.692220278107,14168,3,2
1,1,22.4676909262128,15.6700155211331,14068,3,2
1,1,22.4734668888571,15.6548039007591,13968,3,2
1,1,22.1555279994756,15.6460814279931,13868,3,2
1,1,21.519784341189,15.6426146159546,13768,3,2
1,1,20.595729992725,15.6427034862611,13668,3,2
1,1,19.4363848760445,15.6446154381613,13568,3,2
1,1,18.1135646133683,15.6470580040553,13468,3,2
1,1,16.7013198064081,15.6493383469642,13368,3,2
1,1,15.2641488097608,15.651112493207,13268,3,2
1,1,13.8557904792483,15.6521680865932,13168,3,2
1,1,12.5196347745136,15.6524570967231,13068,3,2
1,1,11.2901278851274,15.6522741746248,12968,3,2
1,1,10.1958881141152,15.6523809024104,12868,3,2
1,1,9.26230753729124,15.6540276860926,12768,3,2
1,1,8.51183797493577,15.6588766568359,12668,3,2
1,1,7.96122657797295,15.6687341866126,12568,3,2
1,1,7.61970769115721,15.685038885446,12468,3,2
1,1,7.48891569041642,15.7083805433362,12368,3,2
1,1,7.56289329073391,15.7382198379981,12268,3,2
1,1,7.82805929780009,15.7728631328514,12168,3,2
1,1,8.26328026730565,15.8097047491059,12068,3,2
1,1,8.84079360777515,15.8456700638817,11968,3,2
1,1,9.52843050941826,15.8776769600435,11868,3,2
1,1,10.2944178701844,15.9032586969553,11768,3,2
1,1,11.1097906313744,15.9208762223858,11668,3,2
1,1,11.9483896716125,15.9299127112767,11568,3,2
1,1,12.7867161742784,15.9305810835713,11468,3,2
1,1,13.6037996388226,15.9237850796826,11368,3,2
1,1,14.3810790699907,15.9109538253495,11268,3,2
1,1,15.1022969257646,15.893864610348,11168,3,2
1,1,15.75340544153,15.8744651702494,11068,3,2
1,1,16.3224849954806,15.8547045177678,10968,3,2
1,1,16.7996742222458,15.8363801136554,10868,3,2
1,1,17.1771116161719,15.8210081925441,10768,3,2
1,1,17.4488884147722,15.8097231613643,10668,3,2
1,1,17.6110125726089,15.803210850385,10568,3,2
1,1,17.6613836752251,15.8016788357074,10468,3,2
1,1,17.5997786427196,15.8048651680645,10368,3,2
1,1,17.4278480554372,15.8120847152261,10268,3,2
1,1,17.1491228438448,15.8223101038002,10168,3,2
1,1,16.7690308659989,15.8342822027881,10068,3,2
1,1,16.29492242462,15.8466432009553,9968,3,2
1,1,15.7361027883645,15.8580835711895,9868,3,2
1,1,15.1038678443618,15.8674924099962,9768,3,2
1,1,14.41155987598,15.8740996605659,9668,3,2
1,1,13.6744494739175,15.8775847672662,9568,3,2
1,1,12.9074956299178,15.8779812775917,9468,3,2
1,1,12.123993169032,15.8754922343663,9368,3,2
1,1,11.335662178956,15.8703772792172,9268,3,2
1,1,10.5526837257296,15.8628789656922,9168,3,2
1,1,9.78374031638727,15.8531953099589,9068,3,2
1,1,9.03606309304013,15.8414940458746,8968,3,2
1,1,8.31517329249531,15.8279915920182,8868,3,2
1,1,7.62556114397944,15.8129472712816,8768,3,2
1,1,6.97157849518582,15.7966115065456,8668,3,2
1,1,6.35835800217463,15.7790845478408,8568,3,2
1,1,5.79239072011783,15.760278317684,8468,3,2
1,1,5.2822289391607,15.7400354063234,8368,3,2
1,1,4.84095879718661,15.7181942399035,8268,3,2
1,1,4.49709680816159,15.6948482706885,8168,3,2
1,1,4.32907067896799,15.671531190398,8068,3,2
1,1,4.40511547453701,15.6488428004082,7968,3,2
1,1,4.44191176960245,15.6288806471711,7868,3,2
1,1,4.35448201285676,15.6134742139508,7768,3,2
1,1,4.19346994331107,15.6008724064456,7668,3,2
1,1,4.05906471908092,15.5898725119459,7568,3,2
1,1,3.89016207208857,15.5819249520273,7468,3,2
1,1,3.66468330899253,15.5768872515698,7368,3,2
1,1,3.38377122269943,15.5738908068327,7268,3,2
1,1,3.05869231676682,15.5720276466327,7168,3,2
1,1,2.72846080789343,15.570855466642,7068,3,2
1,1,2.48775621240958,15.5706324227762,6968,3,2
1,1,2.55121572021396,15.5721071384358,6868,3,2
1,1,2.96803361536934,15.5631922638534,6768,3,2
1,1,2.98230554720387,15.5495348210656,6668,3,2
1,1,2.77707043290138,15.5458358636104,6568,3,2
1,1,2.49850159212947,15.5584644538459,6468,3,2
1,1,2.04500649942085,15.575241877334,6368,3,2
1,1,1.73109554905444,15.5641588608143,6268,3,2
1,1,1.65930530542508,15.559333948834,6168,3,2
1,1,1.68587942330167,15.5613374695184,6068,3,2
1,1,1.73468565057963,15.5652262506498,5968,3,2
1,1,1.77682353775948,15.5692334513416,5868,3,2
1,1,1.80374406630173,15.572956473502,5768,3,2
1,1,1.81472885223106,15.5762175701291,5668,3,2
1,1,1.82139169452712,15.5790367903715,5568,3,2
