"","year","lat","lon","mhhw(m)","mhw(m)","mtl(m)","mlw(m)","mllw(m)","range(m)","HAT(m)","model"
"160",4,17.864,88.041,-0.00366756756756757,-0.0032225352112676,0.001,0.00277714285714285,0.0037377049180328,-0.00728260869565217,-0.00799289520426286,"Hill et al. (2011)"
"161",5,16.78,-87.86,-0.000938547486033524,-0.000728862973760937,0,0.000912280701754385,0.00102777777777778,-0.00200696378830084,-0.00166480446927375,"Hill et al. (2011)"
"162",5,16.75,-87.8,-0.000798319327731091,-0.000892128279883379,0,0.000912280701754385,0.000835654596100285,-0.00182705718270573,-0.00194227188081936,"Hill et al. (2011)"
"163",5,16.78,-87.83,-0.000938547486033524,-0.000892128279883379,0,0.000912280701754385,0.000824512534818939,-0.00182705718270573,-0.00194227188081936,"Hill et al. (2011)"
"164",5,17.2,-87.53,-0.000802816901408453,-0.000897360703812321,0,0.00091764705882353,0.000842696629213491,-0.00166853932584271,-0.00195684803001878,"Hill et al. (2011)"
"165",5,17.33,-87.79,-0.000786516853932585,-0.000877192982456143,0,0.000897360703812321,0.000817927170868343,-0.00180925666199158,-0.00193058161350845,"Hill et al. (2011)"
"166",5,17.55,-87.75,-0.0007887323943662,-0.000879765395894426,0,0.00075221238938053,0.0008225352112676,-0.00181434599156119,-0.00192830188679247,"Hill et al. (2011)"
"167",5,16.9,-88.06,-0.000610354223433245,-0.000579545454545458,NA,0.000883852691218129,0.000810810810810816,-0.00143283582089551,-0.00109156193895871,"Hill et al. (2011)"
"168",5,17.06,-88,-0.000773480662983425,-0.000862068965517236,NA,0.000899135446685871,0.000813186813186817,-0.00161157024793387,-0.00136446886446887,"Hill et al. (2011)"
"169",5,17.23,-88.05,-0.000610354223433245,-0.000722379603399437,0,0.000598870056497176,0.000606469002695412,-0.0010650406504065,-0.000270609318996418,"Hill et al. (2011)"
"170",5,17.47,-88.04,-0.0006120218579235,-0.000726495726495725,Inf,0,-0.000201634877384199,-0.000355191256830589,0.00216727272727274,"Hill et al. (2011)"
"171",5,16.45,-88.03,-0.000939560439560443,-0.000874285714285716,-Inf,0.000893982808022914,0.00102179836512262,-0.00198360655737706,-0.00193806921675774,"Hill et al. (2011)"
"172",5,16.8,-88.08,-0.000760869565217391,-0.000722379603399437,NA,0.00102824858757062,0.000808625336927229,-0.00160757780784845,-0.00109874326750448,"Hill et al. (2011)"
"173",5,16.1,-88.25,-0.000936986301369867,-0.000997150997150996,0,0.000876790830945551,0.00101626016260163,-0.00215803814713897,-0.00193454545454547,"Hill et al. (2011)"
"174",5,16.26,-88.17,-0.00109315068493151,-0.000857142857142855,0,0.000893982808022914,0.00101902173913043,-0.00216098226466577,-0.00193806921675774,"Hill et al. (2011)"
"175",5,16.96,-88.05,-0.000619565217391302,-0.000577903682719545,NA,0.000748587570621469,0.000806451612903228,-0.00142702702702702,-0.000546428571428559,"Hill et al. (2011)"
"176",5,17.47,-88.04,-0.0006120218579235,-0.000726495726495725,Inf,0,-0.000201634877384199,-0.000355191256830589,0.00216727272727274,"Hill et al. (2011)"
"177",5,16.96,-88.05,-0.000619565217391302,-0.000577903682719545,NA,0.000748587570621469,0.000806451612903228,-0.00142702702702702,-0.000546428571428559,"Hill et al. (2011)"
"178",5,16.84,-87.76,-0.000798319327731091,-0.000892128279883379,0,0.000762463343108505,0.000835654596100285,-0.0018296089385475,-0.00166791044776118,"Hill et al. (2011)"
"179",5,16.89,-87.77,-0.000784313725490197,-0.000892128279883379,0,0.000762463343108505,0.00103064066852368,-0.0018296089385475,-0.00194589552238805,"Hill et al. (2011)"
"180",5,16.74,-87.84,-0.000938547486033524,-0.000743440233236151,0,0.000912280701754385,0.00104166666666666,-0.00182705718270573,-0.00166480446927375,"Hill et al. (2011)"
"181",5,17.39,-87.49,-0.000802816901408453,-0.000750000000000001,0,0.000920353982300885,0.000845070422535218,-0.00167323943661973,-0.00167231638418081,"Hill et al. (2011)"
"182",5,17.39,-87.53,-0.000802816901408453,-0.000750000000000001,0,0.000766961651917406,0.000833802816901416,-0.0016605633802817,-0.00167231638418081,"Hill et al. (2011)"
"183",5,17.15,-87.61,-0.000800561797752807,-0.000747800586510264,0,0.000764705882352945,0.000840336134453779,-0.00183730715287517,-0.00167729831144464,"Hill et al. (2011)"
"184",5,17.48,-87.83,-0.000943820224719102,-0.000877192982456143,0,0.000899999999999998,0.00082022471910112,-0.00181179775280899,-0.00192105263157896,"Hill et al. (2011)"
"185",5,17.25,-87.93,-0.000938547486033524,-0.000872093023255804,0,0.000894736842105261,0.001016713091922,-0.00179916317991632,-0.001919776119403,"Hill et al. (2011)"
"186",5,17.38,-87.92,-0.000784313725490197,-0.000874635568513117,0.001,0.000894736842105261,0.000815642458100563,-0.00161118881118882,-0.00164044943820224,"Hill et al. (2011)"
"187",5,17.36,-87.88,-0.000941176470588237,-0.0010204081632653,0,0.000897360703812321,0.0010195530726257,-0.00180672268907564,-0.00191385767790261,"Hill et al. (2011)"
"188",5,16.9,-88.09,-0.000303191489361705,-0.000432132963988918,0.001,0.000741758241758241,0.000806282722513096,-0.00124670184696571,0.000271626297577848,"Hill et al. (2011)"
"189",5,16.84,-88.1,-0.000607999999999997,-0.000577777777777781,0.001,0.000747922437673132,0.000812664907651722,-0.00142175066312997,-0.000544502617801035,"Hill et al. (2011)"
"190",5,16.83,-88.1,-0.000609625668449201,-0.000722222222222221,0.001,0.000897506925207757,0.00101583113456465,-0.00142363877822047,-0.000545454545454543,"Hill et al. (2011)"
"191",5,16.63,-88.2,-0.00090537084398977,-0.000719999999999998,0.001,0.00103978779840849,0.00141414141414141,-0.00194529262086515,-0.00164824120603016,"Hill et al. (2011)"
"192",5,17.4,-88.07,0.000310160427807488,0,-0.004,-0.00134626038781164,-0.00201058201058202,0.00213829787234043,0.00671052631578947,"Hill et al. (2011)"
"193",5,16.8,-88.08,-0.000760869565217391,-0.000722379603399437,NA,0.00102824858757062,0.000808625336927229,-0.00160757780784845,-0.00109874326750448,"Hill et al. (2011)"
"194",5,16.83,-88.11,-0.000613756613756615,-0.000573002754820938,0.001,0.000887671232876711,0.000804177545691911,-0.00141918528252299,-0.000544827586206886,"Hill et al. (2011)"
"195",5,17.48,-87.82,-0.000943820224719102,-0.0010233918128655,0,0.000899999999999998,0.00082022471910112,-0.00181179775280899,-0.00192105263157896,"Hill et al. (2011)"
"196",5,17.9148,87.9895,-0.00318681318681319,-0.00320571428571428,-0.001,0.00412391930835734,0.00531491712707181,-0.00853370013755157,-0.0040217391304348,"Hill et al. (2011)"
"197",5,17.9405,87.9559,-0.00283425414364641,-0.00278448275862068,-0.003,0.00361739130434782,0.00471468144044321,-0.00742876901798062,-0.00348722627737227,"Hill et al. (2011)"
"198",5,17.9895,87.9633,-0.00314917127071822,-0.00307758620689655,-0.004,0.0040695652173913,0.00553462603878116,-0.00833471645919777,-0.00374181818181818,"Hill et al. (2011)"
"199",5,17.948,88.113,-0.00781102362204724,-0.00736338797814207,-0.00266666666666667,0.0106333333333333,0.0140053050397878,-0.0213562005277045,-0.00869,"Hill et al. (2011)"
"200",5,17.864,88.041,-0.0043054054054054,-0.00395492957746479,-0.0015,0.00493714285714286,0.00664480874316939,-0.0105597826086956,-0.00506216696269979,"Hill et al. (2011)"
"201",6,16.78,-87.86,-0.00531843575418994,-0.00510204081632654,0,0.00547368421052632,0.00739999999999999,-0.0127715877437326,-0.011098696461825,"Hill et al. (2011)"
"202",6,16.75,-87.8,-0.00526890756302521,-0.0053527696793003,0,0.00547368421052632,0.00731197771587744,-0.0126066945606694,-0.011098696461825,"Hill et al. (2011)"
"203",6,16.78,-87.83,-0.00531843575418994,-0.00520408163265307,0,0.00547368421052632,0.00721448467966573,-0.0126066945606694,-0.011098696461825,"Hill et al. (2011)"
"204",6,17.2,-87.53,-0.00529859154929577,-0.00523460410557185,0,0.00550588235294118,0.0071629213483146,-0.0126067415730337,-0.0111819887429644,"Hill et al. (2011)"
"205",6,17.33,-87.79,-0.00519101123595505,-0.00526315789473684,0,0.0053841642228739,0.00715686274509804,-0.0123029453015428,-0.011031894934334,"Hill et al. (2011)"
"206",6,17.55,-87.75,-0.0052056338028169,-0.00527859237536657,0,0.00541592920353983,0.00719718309859155,-0.0125189873417721,-0.0110188679245283,"Hill et al. (2011)"
"207",6,16.9,-88.06,-0.00335694822888283,-0.00347727272727272,-Inf,0.00397733711048158,0.00506756756756757,-0.0084179104477612,-0.00382046678635548,"Hill et al. (2011)"
"208",6,17.06,-88,-0.00386740331491712,-0.00402298850574712,-Inf,0.00434582132564841,0.00569230769230769,-0.00949035812672175,-0.00654945054945055,"Hill et al. (2011)"
"209",6,17.23,-88.05,-0.00106811989100818,-0.00144475920679886,0.003,0.00209604519774011,0.00242587601078167,-0.00337262872628727,0.00162365591397848,"Hill et al. (2011)"
"210",6,17.47,-88.04,0.00030601092896175,0,-Inf,0.000297142857142857,0.000201634877384199,0.000355191256830589,0.0108363636363636,"Hill et al. (2011)"
"211",6,16.45,-88.03,-0.0048543956043956,-0.00495428571428571,-Inf,0.00521489971346704,0.00694822888283378,-0.0119016393442623,-0.0099672131147541,"Hill et al. (2011)"
"212",6,16.8,-88.08,-0.00365217391304348,-0.00375637393767705,NA,0.00411299435028249,0.00525606469002696,-0.00893098782138026,-0.0049443447037702,"Hill et al. (2011)"
"213",6,16.1,-88.25,-0.00530958904109589,-0.00512820512820512,0,0.00540687679083094,0.00752032520325203,-0.0127683923705722,-0.0113309090909091,"Hill et al. (2011)"
"214",6,16.26,-88.17,-0.00530958904109589,-0.005,0,0.00536389684813753,0.00733695652173913,-0.0126057298772169,-0.0107978142076503,"Hill et al. (2011)"
