"","SiteName","data_type_id","Age","Age_BP","Age_type","pred","upr","lwr","rate_pred","rate_upr","rate_lwr","CI"
"109",",
 ","ProxyRecord",-746.0125,2696.0125,"BP",-1.28656668442874,-1.40764858555886,-1.16721795171637,0.738395282247382,-0.0692232381687759,1.61415240857173,"95%"
"110",",
 ","ProxyRecord",-696.0125,2646.0125,"BP",-1.24709162633912,-1.37388300694674,-1.12032867451297,0.729228643710644,-0.0881473327650124,1.56806517967259,"95%"
"111",",
 ","ProxyRecord",-646.0125,2596.0125,"BP",-1.20939234852545,-1.34329913516157,-1.07604811933085,0.692804289333637,-0.144339290558203,1.55124526775203,"95%"
"112",",
 ","ProxyRecord",-596.0125,2546.0125,"BP",-1.17594976161543,-1.32519422659609,-1.02648234120535,0.629845364660817,-0.216319145342054,1.52015899451457,"95%"
"113",",
 ","ProxyRecord",-546.0125,2496.0125,"BP",-1.14748008934148,-1.31128048058088,-0.980153219995501,0.544554605145053,-0.345642744404996,1.43788122926377,"95%"
"114",",
 ","ProxyRecord",-496.0125,2446.0125,"BP",-1.12376034869123,-1.30930278801284,-0.93468022557541,0.44379441971416,-0.429978120769884,1.37440965654153,"95%"
"115",",
 ","ProxyRecord",-446.0125,2396.0125,"BP",-1.10501847908019,-1.31214511970974,-0.89908360959876,0.336010041949805,-0.55548205779558,1.23457452641568,"95%"
"116",",
 ","ProxyRecord",-396.0125,2346.0125,"BP",-1.09296194980854,-1.30680352501066,-0.88295709767327,0.232083767978754,-0.672164370241491,1.15498387552822,"95%"
"117",",
 ","ProxyRecord",-346.0125,2296.0125,"BP",-1.08589463139037,-1.30541051744734,-0.867078744971815,0.139823455574972,-0.766590855297349,1.06033400413251,"95%"
"118",",
 ","ProxyRecord",-296.0125,2246.0125,"BP",-1.08161402185027,-1.31737225517472,-0.853455778116356,0.0715598463112115,-0.866091648178745,0.975742602398591,"95%"
"119",",
 ","ProxyRecord",-246.0125,2196.0125,"BP",-1.07955911934769,-1.32835980120956,-0.843735818165344,0.0284065155304989,-0.907373343347552,0.993217372856921,"95%"
"120",",
 ","ProxyRecord",-196.0125,2146.0125,"BP",-1.07808182498966,-1.32241662649886,-0.844616544260314,0.00989678396717187,-0.954555651994449,0.990817149990116,"95%"
"121",",
 ","ProxyRecord",-146.0125,2096.0125,"BP",-1.07676128744984,-1.30718897243686,-0.850603542900283,0.0142091029538471,-0.980947312446406,1.01108789602649,"95%"
"122",",
 ","ProxyRecord",-96.0124999999996,2046.0125,"BP",-1.07471173266537,-1.2918888411786,-0.860598560562278,0.0356335327080304,-0.939727404698809,1.01844944918545,"95%"
"123",",
 ","ProxyRecord",-46.0124999999998,1996.0125,"BP",-1.07127952024296,-1.28708839827713,-0.86064699386704,0.0773621248599946,-0.896196249234247,1.0692288137308,"95%"
"124",",
 ","ProxyRecord",3.98750000000003,1946.0125,"BP",-1.06548717933932,-1.27503247547016,-0.858508772938556,0.137777969733823,-0.812014090049668,1.1195955458957,"95%"
"125",",
 ","ProxyRecord",53.9874999999999,1896.0125,"BP",-1.05577480978623,-1.25615749973201,-0.855263791051475,0.213042467318787,-0.727123639222889,1.17468528865091,"95%"
"126",",
 ","ProxyRecord",103.9875,1846.0125,"BP",-1.0427601295886,-1.23354985314504,-0.853092611836953,0.292633984023981,-0.609561864081328,1.2365504863984,"95%"
"127",",
 ","ProxyRecord",153.9875,1796.0125,"BP",-1.02647750915392,-1.2114448874061,-0.846798517745958,0.367606970460916,-0.549494970657262,1.26902894230458,"95%"
"128",",
 ","ProxyRecord",203.9875,1746.0125,"BP",-1.00631785779929,-1.18116304598982,-0.83976253634636,0.433485540143107,-0.506459659363901,1.34044456469552,"95%"
"129",",
 ","ProxyRecord",253.9875,1696.0125,"BP",-0.983061674753548,-1.14021974081661,-0.831246243872642,0.484684789960926,-0.422880667529353,1.42125986429222,"95%"
"130",",
 ","ProxyRecord",303.9875,1646.0125,"BP",-0.957445926012605,-1.1048365343245,-0.815763543476562,0.518925917256064,-0.41664121457755,1.46971345729198,"95%"
"131",",
 ","ProxyRecord",353.9875,1596.0125,"BP",-0.931018122703171,-1.06951533050648,-0.790363574667482,0.538143743089175,-0.415231801783098,1.47674243574814,"95%"
"132",",
 ","ProxyRecord",403.9875,1546.0125,"BP",-0.904141551493117,-1.04881660552799,-0.762470893112483,0.539962015388035,-0.41515882267538,1.44749204873445,"95%"
"133",",
 ","ProxyRecord",453.9875,1496.0125,"BP",-0.87820542780179,-1.03342904205291,-0.72217062872953,0.519836757478979,-0.436736999567568,1.43435787607533,"95%"
"134",",
 ","ProxyRecord",503.9875,1446.0125,"BP",-0.854255729349174,-1.02352565706761,-0.690535357143576,0.478820504751386,-0.489936477148974,1.39749850688905,"95%"
"135",",
 ","ProxyRecord",553.9875,1396.0125,"BP",-0.832764387562959,-1.02219564125254,-0.651372059674505,0.423989350811204,-0.541782431641256,1.3471662183351,"95%"
"136",",
 ","ProxyRecord",603.9875,1346.0125,"BP",-0.813537876029918,-1.02271595703358,-0.621126271324584,0.362333202759559,-0.625552294955264,1.2968794302537,"95%"
"137",",
 ","ProxyRecord",653.9875,1296.0125,"BP",-0.797951797830706,-1.01144247662076,-0.590118398196397,0.301956583833256,-0.716290526139232,1.26169998012647,"95%"
"138",",
 ","ProxyRecord",703.9875,1246.0125,"BP",-0.78405307998393,-0.996845890536919,-0.582709376931462,0.249770497426743,-0.782739271435486,1.25470784105965,"95%"
"139",",
 ","ProxyRecord",753.9875,1196.0125,"BP",-0.771156498501896,-0.986395180094389,-0.559215562634545,0.204796196977116,-0.852160621909133,1.21815513392602,"95%"
"140",",
 ","ProxyRecord",803.9875,1146.0125,"BP",-0.758892749761233,-0.981156589810782,-0.536814731548011,0.169982044127655,-0.873494375158217,1.22379771698755,"95%"
"141",",
 ","ProxyRecord",853.9875,1096.0125,"BP",-0.747976036940208,-0.974474061438033,-0.515827860882353,0.146558514974174,-0.870512860699985,1.18678859409124,"95%"
