"","Depth","lwr_2sd","median","upr_2sd","model","removalID","subset"
"272",1084,7762.925,7840,7927,"Set1_thinned_2",2,"1"
"273",1088,7767,7849,7931.025,"Set1_thinned_2",2,"1"
"274",1092,7772.975,7858,7935.1,"Set1_thinned_2",2,"1"
"275",1096,7777,7867,7941,"Set1_thinned_2",2,"1"
"276",1100,7782,7877,7944,"Set1_thinned_2",2,"1"
"277",1104,7790.95,7886,7950.025,"Set1_thinned_2",2,"1"
"278",1108,7797.975,7895,7955.025,"Set1_thinned_2",2,"1"
"279",1112,7806.975,7904,7961,"Set1_thinned_2",2,"1"
"280",1116,7818,7913,7966,"Set1_thinned_2",2,"1"
"281",1120,7824,7922,7971.025,"Set1_thinned_2",2,"1"
"282",1124,7835,7931,7977,"Set1_thinned_2",2,"1"
"283",1128,7842.975,7941,7984,"Set1_thinned_2",2,"1"
"284",1132,7852.975,7949,7990,"Set1_thinned_2",2,"1"
"285",1136,7862.95,7958,7997.025,"Set1_thinned_2",2,"1"
"286",1140,7877,7968,8006,"Set1_thinned_2",2,"1"
"287",1144,7925.95,7979,8020.025,"Set1_thinned_2",2,"1"
"288",1148,7941.975,7999,8278.3,"Set1_thinned_2",2,"1"
"289",1152,7945.975,8009,8388.45,"Set1_thinned_2",2,"1"
"290",1156,7951,8018,8479.025,"Set1_thinned_2",2,"1"
"291",1160,7953,8026,8515.05,"Set1_thinned_2",2,"1"
"292",1164,7955,8035.5,8562.3,"Set1_thinned_2",2,"1"
"293",1168,7958,8047.5,8616.075,"Set1_thinned_2",2,"1"
"294",1172,7961.975,8059,8673.05,"Set1_thinned_2",2,"1"
"295",1176,7963,8068,8730.075,"Set1_thinned_2",2,"1"
"296",1180,7966.95,8078,8751.1,"Set1_thinned_2",2,"1"
"297",1184,7968.975,8086.5,8811.275,"Set1_thinned_2",2,"1"
"298",1188,7971,8096,8848.625,"Set1_thinned_2",2,"1"
"299",1192,7973,8107.5,8897.55,"Set1_thinned_2",2,"1"
"300",1196,7974.975,8118.5,8954.15,"Set1_thinned_2",2,"1"
"301",1200,7975.975,8128,8996.025,"Set1_thinned_2",2,"1"
"302",1204,7977,8138.5,9019.425,"Set1_thinned_2",2,"1"
"303",0,-69,-68,-67,"Set1_thinned_3",3,"1"
"304",4,-55,-33,30.05,"Set1_thinned_3",3,"1"
"305",8,-41,2,72.075,"Set1_thinned_3",3,"1"
"306",12,-27,36.5,109.15,"Set1_thinned_3",3,"1"
"307",16,-11.05,70.5,160,"Set1_thinned_3",3,"1"
"308",20,5.975,105,213,"Set1_thinned_3",3,"1"
"309",24,29,141,264,"Set1_thinned_3",3,"1"
"310",28,76,220,419.575,"Set1_thinned_3",3,"1"
"311",32,108,279,555.15,"Set1_thinned_3",3,"1"
"312",36,135.975,338,640.25,"Set1_thinned_3",3,"1"
"313",40,156,394,718.075,"Set1_thinned_3",3,"1"
"314",44,178.975,453.5,788,"Set1_thinned_3",3,"1"
"315",48,202,511,828.125,"Set1_thinned_3",3,"1"
"316",52,225.925,568,889.075,"Set1_thinned_3",3,"1"
"317",56,243.925,630,959,"Set1_thinned_3",3,"1"
"318",60,264.975,691,1027.025,"Set1_thinned_3",3,"1"
"319",64,288.925,751,1117.05,"Set1_thinned_3",3,"1"
"320",68,315.975,817.5,1191.05,"Set1_thinned_3",3,"1"
"321",72,351.95,883,1270,"Set1_thinned_3",3,"1"
"322",76,374.9,956.5,1363.075,"Set1_thinned_3",3,"1"
"323",80,519.85,1039,1402,"Set1_thinned_3",3,"1"
"324",84,668.825,1114.5,1424.025,"Set1_thinned_3",3,"1"
"325",88,810,1189,1443,"Set1_thinned_3",3,"1"
"326",92,936.925,1260,1462.025,"Set1_thinned_3",3,"1"
"327",96,1070.975,1328.5,1495.025,"Set1_thinned_3",3,"1"
"328",100,1208,1401,1528,"Set1_thinned_3",3,"1"
"329",104,1393,1483,1571.05,"Set1_thinned_3",3,"1"
"330",108,1491,1585,1918.125,"Set1_thinned_3",3,"1"
"331",112,1558,1683.5,2116.525,"Set1_thinned_3",3,"1"
"332",116,1603.975,1781,2209.05,"Set1_thinned_3",3,"1"
"333",120,1652.925,1881.5,2263.075,"Set1_thinned_3",3,"1"
"334",124,1703,1984,2321.05,"Set1_thinned_3",3,"1"
"335",128,1746.925,2088,2380.05,"Set1_thinned_3",3,"1"
"336",132,1797.975,2190,2435.125,"Set1_thinned_3",3,"1"
"337",136,1873.525,2289.5,2487,"Set1_thinned_3",3,"1"
"338",140,2007.55,2388.5,2539.1,"Set1_thinned_3",3,"1"
"339",144,2172.825,2486.5,2617,"Set1_thinned_3",3,"1"
"340",148,2401.925,2606,2764,"Set1_thinned_3",3,"1"
"341",152,2776,2962,3211.55,"Set1_thinned_3",3,"1"
"342",156,3078.95,3327.5,3480.375,"Set1_thinned_3",3,"1"
"343",160,3578.975,3700,3800.025,"Set1_thinned_3",3,"1"
"344",164,3667,3768.5,3883.05,"Set1_thinned_3",3,"1"
"345",168,3686,3788,3939.075,"Set1_thinned_3",3,"1"
"346",172,3705.95,3804,3987,"Set1_thinned_3",3,"1"
"347",176,3718.975,3822,4010.025,"Set1_thinned_3",3,"1"
"348",180,3730.95,3838.5,4021.025,"Set1_thinned_3",3,"1"
"349",184,3742.95,3854,4032.075,"Set1_thinned_3",3,"1"
"350",188,3752,3869.5,4046.05,"Set1_thinned_3",3,"1"
"351",192,3760,3886,4058.025,"Set1_thinned_3",3,"1"
"352",196,3770.9,3901.5,4066,"Set1_thinned_3",3,"1"
"353",200,3780.925,3919,4073.1,"Set1_thinned_3",3,"1"
"354",204,3791,3935,4079.1,"Set1_thinned_3",3,"1"
"355",208,3803.9,3951,4096.025,"Set1_thinned_3",3,"1"
"356",212,3811.9,3966,4104.05,"Set1_thinned_3",3,"1"
"357",216,3818.975,3981.5,4117.025,"Set1_thinned_3",3,"1"
"358",220,3826,3997,4125.05,"Set1_thinned_3",3,"1"
"359",224,3835.95,4013,4137.025,"Set1_thinned_3",3,"1"
"360",228,3858.975,4028,4151,"Set1_thinned_3",3,"1"
"361",232,3863,4043,4161.05,"Set1_thinned_3",3,"1"
"362",236,3881.825,4057,4176.075,"Set1_thinned_3",3,"1"
"363",240,3893.8,4072,4187,"Set1_thinned_3",3,"1"
"364",244,3916.85,4088,4203.025,"Set1_thinned_3",3,"1"
"365",248,3938.975,4102,4220.05,"Set1_thinned_3",3,"1"
"366",252,3977.9,4119,4238.05,"Set1_thinned_3",3,"1"
"367",256,4010,4141,4262.025,"Set1_thinned_3",3,"1"
"368",260,4053.975,4185.5,4405.15,"Set1_thinned_3",3,"1"
"369",264,4093.975,4223.5,4519.2,"Set1_thinned_3",3,"1"
"370",268,4133.925,4259.5,4559.175,"Set1_thinned_3",3,"1"
"371",272,4158,4293.5,4601.125,"Set1_thinned_3",3,"1"
"372",276,4180,4329,4633.3,"Set1_thinned_3",3,"1"
"373",280,4193,4364,4660.175,"Set1_thinned_3",3,"1"
