"","RSL","RSLer_up_2sd","Age","Age_up_er_2sd","RSLError","AgeError","AgeCE","model","removalID"
"137",-5.44044997505515,0.218526948178349,5803.0125,243.0125,0.109263474089174,121.50625,-3853.0125,"Set1_thinned_2","_2"
"138",-5.48020110604912,0.218716098080434,5815,240.025,0.109358049040217,120.0125,-3865,"Set1_thinned_2","_2"
"139",-5.51995879565215,0.218905279715578,5830.475,235.549999999999,0.109452639857789,117.775,-3880.475,"Set1_thinned_2","_2"
"140",-5.55971291928511,0.219096578752421,5851.95,227.125,0.10954828937621,113.5625,-3901.95,"Set1_thinned_2","_2"
"141",-5.59947434646427,0.219288657013617,5877.5125,215.5125,0.109644328506808,107.75625,-3927.5125,"Set1_thinned_2","_2"
"142",-5.63923929178452,0.219481074715577,5918.0375,191.112499999999,0.109740537357789,95.5562499999996,-3968.0375,"Set1_thinned_2","_2"
"143",-5.67900761469825,0.219676114940258,5969.475,168.525,0.109838057470129,84.2624999999998,-4019.475,"Set1_thinned_2","_2"
"144",-5.7187735333385,0.219870561057951,6043.9875,122.0375,0.109935280528975,61.0187500000002,-4093.9875,"Set1_thinned_2","_2"
"145",-5.75853810507304,0.220066465002228,6093.525,113.55,0.110033232501114,56.7750000000001,-4143.525,"Set1_thinned_2","_2"
"146",-5.79831174803568,0.220262597198102,6137.9625,139.0625,0.110131298599051,69.53125,-4187.9625,"Set1_thinned_2","_2"
"147",-5.83808553383342,0.220460276955742,6170.5,152.55,0.110230138477871,76.2750000000001,-4220.5,"Set1_thinned_2","_2"
"148",-5.87786514326101,0.220659102810482,6193.4875,163.5125,0.110329551405241,81.7562499999999,-4243.4875,"Set1_thinned_2","_2"
"149",-5.91764890411584,0.220858935849796,6214.0125,177.0125,0.110429467924898,88.5062499999999,-4264.0125,"Set1_thinned_2","_2"
"150",-5.95742111292197,0.221058841294513,6233.025,187.05,0.110529420647256,93.5250000000001,-4283.025,"Set1_thinned_2","_2"
"151",-5.99720066262472,0.221260680933122,6247.575,195.575,0.110630340466561,97.7874999999999,-4297.575,"Set1_thinned_2","_2"
"152",-6.03699223254437,0.221463222434136,6263.0375,203.0625,0.110731611217068,101.53125,-4313.0375,"Set1_thinned_2","_2"
"153",-6.07677524111334,0.221667189073965,6278,211,0.110833594536983,105.5,-4328,"Set1_thinned_2","_2"
"154",-6.11656184769108,0.221871813907477,6292,218,0.110935906953739,109,-4342,"Set1_thinned_2","_2"
"155",-6.15635878726636,0.222078104718098,6305.5125,221.537499999999,0.111039052359049,110.76875,-4355.5125,"Set1_thinned_2","_2"
"156",-6.19615411296062,0.222285147518798,6324.5375,231.5875,0.111142573759399,115.79375,-4374.5375,"Set1_thinned_2","_2"
