"","SiteName","data_type_id","Age","true_RSL","RSLer_up_2sd","Age_up_er_2sd","RSL_err","Age_err","AgeCE","CV_fold","test_set","NI_var_grid_term","pred_RSL","upr","lwr","y_post_pred","upr_PI","lwr_PI","CI","CV_fold_number","obs_in_PI","nseg","RMSE"
"74",",
 ","ProxyRecord",6417.9875,-5.847043877,0.339602210489672,123.0125,0.169801105244836,61.5062499999999,-4467.9875,3,"test_set",0.00110301633498011,-6.0504952496754,-6.10753087516443,-5.99385172794115,-6.06048118104235,-6.43417924250771,-5.70454078095346,"95%","3",TRUE,5,0.195877395517457
"75",",
 ","ProxyRecord",6439.475,-5.886892288,0.339737279826235,120.549999999999,0.169868639913118,60.2749999999996,-4489.475,3,"test_set",0.00111504271589347,-6.09801244172219,-6.15487022326827,-6.04151396562802,-6.1043359728391,-6.47843326553633,-5.73132129827003,"95%","3",TRUE,5,0.195877395517457
"76",",
 ","ProxyRecord",6800.0125,-6.644358516,0.342452829835931,51.0124999999998,0.171226414917965,25.5062499999999,-4850.0125,3,"test_set",0.00134858491920298,-6.97842045174434,-7.02348379831254,-6.9335352256266,-6.9694227754121,-7.36336234709691,-6.59411503001026,"95%","3",TRUE,5,0.195877395517457
"77",",
 ","ProxyRecord",6848.9875,-6.684252516,0.34260380174792,53.0124999999998,0.17130190087396,26.5062499999999,-4898.9875,3,"test_set",0.00138518695522727,-7.11164181376787,-7.15624889758189,-7.06817623403164,-7.10657601389071,-7.48180205208784,-6.73027183182123,"95%","3",FALSE,5,0.195877395517457
"78",",
 ","ProxyRecord",6890.5,-6.883772216,0.343369408052847,37.5,0.171684704026423,18.75,-4940.5,3,"test_set",0.00141712646979375,-7.22741751843787,-7.27200515919656,-7.18498189064922,-7.22831825057316,-7.61651180367198,-6.85432548215706,"95%","3",TRUE,5,0.195877395517457
"79",",
 ","ProxyRecord",7044,-7.522722574,0.345941793605715,51,0.172970896802857,25.5,-5094,3,"test_set",0.00154251757535917,-7.67956010247773,-7.72343224672648,-7.63728362364175,-7.6817588219939,-8.06886631316746,-7.31171702300823,"95%","3",TRUE,5,0.195877395517457
"80",",
 ","ProxyRecord",7066.025,-7.682598569,0.346614444,51.0250000000006,0.173307222,25.5125000000003,-5116.025,3,"test_set",0.00156145070726588,-7.74769000583905,-7.79157830375499,-7.70495720722664,-7.74989825983073,-8.13584808746667,-7.35932030731112,"95%","3",TRUE,5,0.195877395517457
"81",",
 ","ProxyRecord",7074.0125,-7.882497373,0.34747131068946,49.0124999999998,0.17373565534473,24.5062499999999,-5124.0125,3,"test_set",0.0015683752949025,-7.77260733811756,-7.81652953645759,-7.72978874416896,-7.77371919982201,-8.16083545578033,-7.40421430079402,"95%","3",TRUE,5,0.195877395517457
"82",",
 ","ProxyRecord",7081,-8.042470852,0.348169049616767,49.0249999999996,0.174084524808384,24.5124999999998,-5131,3,"test_set",0.00157445843365078,-7.79449731085206,-7.83866723075807,-7.75140804276208,-7.79552019446253,-8.16643683685855,-7.40840171314408,"95%","3",TRUE,5,0.195877395517457
"83",",
 ","ProxyRecord",7430.5,-8.762952764,0.342409824875896,80.5,0.171204912437948,40.25,-5480.5,3,"test_set",0.00190906212069741,-9.00722608461277,-9.05232686573068,-8.96092506267402,-9.0067577790703,-9.38068768153871,-8.64247355490511,"95%","3",TRUE,5,0.195877395517457
"84",",
 ","ProxyRecord",7459.4875,-8.883161883,0.342987579214241,92.5375000000004,0.17149378960712,46.2687500000002,-5509.4875,3,"test_set",0.00193948563169677,-9.11893871724683,-9.16434579799577,-9.07307385509005,-9.13202272750006,-9.50044138732369,-8.74451612108878,"95%","3",TRUE,5,0.195877395517457
"85",",
 ","ProxyRecord",7576.0125,-9.524897074,0.34617240093023,76.0124999999998,0.173086200465115,38.0062499999999,-5626.0125,3,"test_set",0.00206591186606708,-9.58669771567271,-9.63019834845009,-9.54337330750017,-9.58110709179094,-9.96332535417781,-9.20931823919013,"95%","3",TRUE,5,0.195877395517457
"86",",
 ","ProxyRecord",7605,-9.806066862,0.347612659721494,59,0.173806329860747,29.5,-5655,3,"test_set",0.00209838954301489,-9.70784142558214,-9.7513179763044,-9.66477733147382,-9.70655308267813,-10.1022647629188,-9.31496188611843,"95%","3",TRUE,5,0.195877395517457
