"","SiteName","data_type_id","Age","Age_BP","Age_type","pred","lwr","upr","rate_pred","rate_lwr","rate_upr","CI","model","removalID","removalIDlabel"
"13908",",
 ","ProxyRecord",-6178.525,8128.525,"BP",-11.5968714075885,-11.74968004914,-11.437360588933,-0.670938358723525,-1.97861462009785,0.604912356198279,"95%","Set10_thinned_5","_5","n=5"
"13909",",
 ","ProxyRecord",-6128.525,8078.525,"BP",-11.5974997023132,-11.7085604682676,-11.48638270445,0.618444723861438,-0.378433933010686,1.58087258934203,"95%","Set10_thinned_5","_5","n=5"
"13910",",
 ","ProxyRecord",-6078.525,8028.525,"BP",-11.5377598389931,-11.621442209424,-11.4511406540092,1.74378796306842,1.00742155691675,2.46368832419284,"95%","Set10_thinned_5","_5","n=5"
"13911",",
 ","ProxyRecord",-6028.525,7978.525,"BP",-11.425853809797,-11.5002717317134,-11.3524424278857,2.7050913589005,2.17797904374849,3.21243124957742,"95%","Set10_thinned_5","_5","n=5"
"13912",",
 ","ProxyRecord",-5978.525,7928.525,"BP",-11.2699836068937,-11.3387161467835,-11.2042414557091,3.50235491135528,3.13089960398534,3.86192837067773,"95%","Set10_thinned_5","_5","n=5"
"13913",",
 ","ProxyRecord",-5928.525,7878.525,"BP",-11.0783512224522,-11.1420464838321,-11.0166767596357,4.13557862043337,3.85034900820795,4.4187580355322,"95%","Set10_thinned_5","_5","n=5"
"13914",",
 ","ProxyRecord",-5878.525,7828.525,"BP",-10.8591586486412,-10.9164290720186,-10.8026642528836,4.60476248613394,4.32629668520708,4.87014141991768,"95%","Set10_thinned_5","_5","n=5"
"13915",",
 ","ProxyRecord",-5828.525,7778.525,"BP",-10.6206078776296,-10.6707893976846,-10.5708741868727,4.90990650845741,4.62325027443911,5.19825465296842,"95%","Set10_thinned_5","_5","n=5"
"13916",",
 ","ProxyRecord",-5778.525,7728.525,"BP",-10.3709009015862,-10.4144015272745,-10.3272464916019,5.05101068740596,4.7535534691024,5.35291153461252,"95%","Set10_thinned_5","_5","n=5"
"13917",",
 ","ProxyRecord",-5728.525,7678.525,"BP",-10.1182397126798,-10.1580196693479,-10.0771040537233,5.02807502297695,4.73472175546792,5.31754186199582,"95%","Set10_thinned_5","_5","n=5"
"13918",",
 ","ProxyRecord",-5678.525,7628.525,"BP",-9.87082630307933,-9.91505774154008,-9.82831900908185,4.84109951517159,4.5815970457285,5.0962336815178,"95%","Set10_thinned_5","_5","n=5"
"13919",",
 ","ProxyRecord",-5628.525,7578.525,"BP",-9.63684344444891,-9.68490665241687,-9.58970474013765,4.49534141858945,4.29716803136424,4.69014511059768,"95%","Set10_thinned_5","_5","n=5"
"13920",",
 ","ProxyRecord",-5578.525,7528.525,"BP",-9.42127172854419,-9.47266240295029,-9.37246506897744,4.13631347881183,3.98618621889196,4.2899872575157,"95%","Set10_thinned_5","_5","n=5"
"13921",",
 ","ProxyRecord",-5528.525,7478.525,"BP",-9.22233452395527,-9.27409827256267,-9.17259113357378,3.82996096595684,3.69603410195239,3.96260529412933,"95%","Set10_thinned_5","_5","n=5"
"13922",",
 ","ProxyRecord",-5478.525,7428.525,"BP",-9.03739805933614,-9.08879358404286,-8.98840678790452,3.57628388002112,3.44087777947446,3.71655187658534,"95%","Set10_thinned_5","_5","n=5"
"13923",",
 ","ProxyRecord",-5428.525,7378.525,"BP",-8.86382856334076,-8.91407344862196,-8.8161723196122,3.37528222100543,3.22378493564705,3.52691772075825,"95%","Set10_thinned_5","_5","n=5"
"13924",",
 ","ProxyRecord",-5378.525,7328.525,"BP",-8.69899226462311,-8.74737954787198,-8.65276036928597,3.22695598891146,3.0648635036127,3.39419752512762,"95%","Set10_thinned_5","_5","n=5"
"13925",",
 ","ProxyRecord",-5328.525,7278.525,"BP",-8.54025539183715,-8.58648277234281,-8.49656363870037,3.13130518373831,2.95693657309983,3.30527497643755,"95%","Set10_thinned_5","_5","n=5"
"13926",",
 ","ProxyRecord",-5278.525,7228.525,"BP",-8.38498417363687,-8.43132078775828,-8.34297194475333,3.08832980548526,2.91048833753635,3.26563214147325,"95%","Set10_thinned_5","_5","n=5"
"13927",",
 ","ProxyRecord",-5228.525,7178.525,"BP",-8.23054483867622,-8.2758464320829,-8.18703821442914,3.09802985415276,2.92588191945432,3.27427017568671,"95%","Set10_thinned_5","_5","n=5"
"13928",",
 ","ProxyRecord",-5178.525,7128.525,"BP",-8.0743036156092,-8.11898114302027,-8.03096220915343,3.16040532974078,3.0030012452253,3.32126875371979,"95%","Set10_thinned_5","_5","n=5"
"13929",",
 ","ProxyRecord",-5128.525,7078.525,"BP",-7.91362673308976,-7.95970698530389,-7.86994485105127,3.27545623224896,3.1388304682012,3.41795210139017,"95%","Set10_thinned_5","_5","n=5"
"13930",",
 ","ProxyRecord",-5078.525,7028.525,"BP",-7.74588041977188,-7.79151280479946,-7.70099175677203,3.44318256167816,3.32075947744093,3.57775037151307,"95%","Set10_thinned_5","_5","n=5"
"13931",",
 ","ProxyRecord",-5028.525,6978.525,"BP",-7.56850876397482,-7.61273293745135,-7.52454676150045,3.65295805138621,3.51725498709843,3.79312333198039,"95%","Set10_thinned_5","_5","n=5"
"13932",",
 ","ProxyRecord",-4978.525,6928.525,"BP",-7.38137458023001,-7.42483861728949,-7.33938589712469,3.82289167289242,3.66079190872742,3.97839000219434,"95%","Set10_thinned_5","_5","n=5"
"13933",",
 ","ProxyRecord",-4928.525,6878.525,"BP",-7.18717021803514,-7.22795575676589,-7.14739248887724,3.93576518938868,3.74527416222627,4.11794199442543,"95%","Set10_thinned_5","_5","n=5"
"13934",",
 ","ProxyRecord",-4878.525,6828.525,"BP",-6.98874868264077,-7.02856771977182,-6.94956525887469,3.99157860087255,3.78321654141654,4.19317136930348,"95%","Set10_thinned_5","_5","n=5"
"13935",",
 ","ProxyRecord",-4828.525,6778.525,"BP",-6.78896297929744,-6.83058468452136,-6.74985678460779,3.99033190734606,3.76849949543944,4.21028881680896,"95%","Set10_thinned_5","_5","n=5"
"13936",",
 ","ProxyRecord",-4778.525,6728.525,"BP",-6.59066611325571,-6.63596890991445,-6.54889642505933,3.93202510880879,3.7035220958544,4.15881895898774,"95%","Set10_thinned_5","_5","n=5"
"13937",",
 ","ProxyRecord",-4728.525,6678.525,"BP",-6.39671108976613,-6.44694892654934,-6.3486017386214,3.81665820526104,3.5944483502359,4.03721197689085,"95%","Set10_thinned_5","_5","n=5"
"13938",",
 ","ProxyRecord",-4678.525,6628.525,"BP",-6.20995091407925,-6.26577833231086,-6.1550536603151,3.64423119670057,3.43313773395885,3.85092467998853,"95%","Set10_thinned_5","_5","n=5"
"13939",",
 ","ProxyRecord",-4628.525,6578.525,"BP",-6.03323859144563,-6.09572470479042,-5.97142553528607,3.41474408313079,3.22872676579236,3.60060655752014,"95%","Set10_thinned_5","_5","n=5"
"13940",",
 ","ProxyRecord",-4578.525,6528.525,"BP",-5.86942712711582,-5.93763848004348,-5.80216172844554,3.12819686454806,2.96969110170614,3.28461030467815,"95%","Set10_thinned_5","_5","n=5"
"13941",",
 ","ProxyRecord",-4528.525,6478.525,"BP",-5.72136952634037,-5.79345650713927,-5.64981541297839,2.78458954095575,2.65765103255562,2.90943035530333,"95%","Set10_thinned_5","_5","n=5"
"13942",",
 ","ProxyRecord",-4478.525,6428.525,"BP",-5.59191879436984,-5.66478487168463,-5.51828181306121,2.38392211235177,2.27902810577125,2.48427319415765,"95%","Set10_thinned_5","_5","n=5"
"13943",",
 ","ProxyRecord",-4428.525,6378.525,"BP",-5.48361661016607,-5.55838891570397,-5.40959575300696,1.95451023124276,1.84135919311871,2.06897755952788,"95%","Set10_thinned_5","_5","n=5"
"13944",",
 ","ProxyRecord",-4378.525,6328.525,"BP",-5.39529504887391,-5.46938914105711,-5.32365690812759,1.59052026292187,1.45104322068537,1.73566125662999,"95%","Set10_thinned_5","_5","n=5"
"13945",",
 ","ProxyRecord",-4328.525,6278.525,"BP",-5.32334923862416,-5.39291148006058,-5.25649313762794,1.29948018954589,1.12894689018992,1.47998686870849,"95%","Set10_thinned_5","_5","n=5"
"13946",",
 ","ProxyRecord",-4278.525,6228.525,"BP",-5.26413168466957,-5.32805481018428,-5.2021076016499,1.08139001111504,0.884337347392728,1.28553920402734,"95%","Set10_thinned_5","_5","n=5"
"13947",",
 ","ProxyRecord",-4228.525,6178.525,"BP",-5.21399489226292,-5.27257388465646,-5.15608293109625,0.936249727628276,0.724356539481662,1.16147311852325,"95%","Set10_thinned_5","_5","n=5"
"13948",",
 ","ProxyRecord",-4178.525,6128.525,"BP",-5.16929136665698,-5.22551355531684,-5.11312646132291,0.864059339086818,0.640485174657766,1.09572416925055,"95%","Set10_thinned_5","_5","n=5"
"13949",",
 ","ProxyRecord",-4128.525,6078.525,"BP",-5.12637361310452,-5.17959199944588,-5.07302658874302,0.864818845489099,0.644398632782018,1.09435535101166,"95%","Set10_thinned_5","_5","n=5"
"13950",",
 ","ProxyRecord",-4078.525,6028.525,"BP",-5.08159413685832,-5.13273681580827,-5.02961133523853,0.938528246837148,0.733962039038589,1.15521358696034,"95%","Set10_thinned_5","_5","n=5"
"13951",",
 ","ProxyRecord",-4028.525,5978.525,"BP",-5.03130544317113,-5.08387174364354,-4.97912235834254,1.08518754312891,0.901186852793052,1.28595500482279,"95%","Set10_thinned_5","_5","n=5"
"13952",",
 ","ProxyRecord",-3978.525,5928.525,"BP",-4.97186003729574,-5.02541430621144,-4.91950405469954,1.30479673436398,1.14168149167222,1.47975706662396,"95%","Set10_thinned_5","_5","n=5"
"13953",",
 ","ProxyRecord",-3928.525,5878.525,"BP",-4.89961042448491,-4.95254575785098,-4.8466230373298,1.59735582054617,1.45049528967627,1.74816834910199,"95%","Set10_thinned_5","_5","n=5"
"13954",",
 ","ProxyRecord",-3878.525,5828.525,"BP",-4.81090910999142,-4.86338676191417,-4.75664968602627,1.96286480167074,1.82144790951911,2.11208519493723,"95%","Set10_thinned_5","_5","n=5"
"13955",",
 ","ProxyRecord",-3828.525,5778.525,"BP",-4.702982235372,-4.75420478226583,-4.65058389948325,2.34173763384321,2.17387109058585,2.51217190342255,"95%","Set10_thinned_5","_5","n=5"
"13956",",
 ","ProxyRecord",-3778.525,5728.525,"BP",-4.57808196839278,-4.62752692049488,-4.52806252761289,2.64076839211043,2.44524077178837,2.84383592614028,"95%","Set10_thinned_5","_5","n=5"
"13957",",
 ","ProxyRecord",-3728.525,5678.525,"BP",-4.44025424221941,-4.48813743993787,-4.39300859977622,2.85883600160904,2.63193050361218,3.09134615299836,"95%","Set10_thinned_5","_5","n=5"
"13958",",
 ","ProxyRecord",-3678.525,5628.525,"BP",-4.29354721429036,-4.34138650052636,-4.24719726073688,2.99594046233748,2.75232242104656,3.24813683118166,"95%","Set10_thinned_5","_5","n=5"
"13959",",
 ","ProxyRecord",-3628.525,5578.525,"BP",-4.1420090420441,-4.19231596772515,-4.09228817733333,3.05208177429815,2.79113560598036,3.31750961296435,"95%","Set10_thinned_5","_5","n=5"
"13960",",
 ","ProxyRecord",-3578.525,5528.525,"BP",-3.98968788291907,-4.04580756847878,-3.93509950276068,3.02725993748771,2.76321911012453,3.29368590896847,"95%","Set10_thinned_5","_5","n=5"
"13961",",
 ","ProxyRecord",-3528.525,5478.525,"BP",-3.84063189435375,-3.90368926259562,-3.77635457597813,2.92147495190956,2.66329220168975,3.17970991109539,"95%","Set10_thinned_5","_5","n=5"
"13962",",
 ","ProxyRecord",-3478.525,5428.525,"BP",-3.6988892337866,-3.7689138246956,-3.62668986934716,2.73472681756133,2.49043251910018,2.97664023364605,"95%","Set10_thinned_5","_5","n=5"
"13963",",
 ","ProxyRecord",-3428.525,5378.525,"BP",-3.56850805865607,-3.6472670689323,-3.48828486399707,2.46701553444462,2.24709160676806,2.67916476042096,"95%","Set10_thinned_5","_5","n=5"
"13964",",
 ","ProxyRecord",-3378.525,5328.525,"BP",-3.45353652640063,-3.53929353916282,-3.36559955193535,2.11834110255822,1.93540828731679,2.2958541521303,"95%","Set10_thinned_5","_5","n=5"
"13965",",
 ","ProxyRecord",-3328.525,5278.525,"BP",-3.35802279445874,-3.44690400479151,-3.2669662665066,1.68870352190226,1.53114279995417,1.83966711786076,"95%","Set10_thinned_5","_5","n=5"
"13966",",
 ","ProxyRecord",-3278.525,5228.525,"BP",-3.28601357787084,-3.378511494105,-3.19213790649466,1.17898138070228,1.03173195050954,1.3190311542548,"95%","Set10_thinned_5","_5","n=5"
"13967",",
 ","ProxyRecord",-3228.525,5178.525,"BP",-3.23963214771094,-3.33130994575882,-3.14681920240039,0.691797431508434,0.520277403443471,0.861743795730818,"95%","Set10_thinned_5","_5","n=5"
"13968",",
 ","ProxyRecord",-3178.525,5128.525,"BP",-3.2152835352423,-3.30550601465771,-3.1238706617288,0.297668673052209,0.0935278468873237,0.505291271721911,"95%","Set10_thinned_5","_5","n=5"
